Hora,Tem,Hum,Dia
0,19,68,1
1,19,60,1
2,19,64,1
3,18,68,1
4,19,60,1
5,20,56,1
6,19,64,1
7,20,64,1
8,19,64,1
9,21,53,1
10,21,53,1
11,23,47,1
12,23,53,1
13,23,53,1
14,23,57,1
15,24,50,1
16,23,53,1
17,23,53,1
18,22,57,1
19,21,64,1
20,20,78,1
21,19,83,1
22,20,73,1
23,20,78,1
0,20,78,2
1,19,78,2
2,18,77,2
3,19,73,2
4,18,73,2
5,19,78,2
6,18,94,2
7,18,88,2
8,18,94,2
9,18,94,2
10,21,78,2
11,20,83,2
12,23,61,2
13,24,54,2
14,24,54,2
15,24,54,2
16,23,53,2
17,22,60,2
18,20,78,2
19,20,73,2
20,20,73,2
21,19,78,2
22,19,83,2
23,19,73,2
0,19,78,3
1,18,83,3
2,19,78,3
3,19,73,3
4,19,73,3
5,18,77,3
6,19,78,3
7,18,77,3
8,19,78,3
9,19,83,3
10,20,78,3
11,21,73,3
12,21,78,3
13,21,69,3
14,19,88,3
15,18,94,3
16,18,94,3
17,18,94,3
18,18,94,3
19,18,83,3
20,18,88,3
21,18,88,3
22,18,83,3
23,18,83,3
0,18,88,4
1,18,88,4
2,19,83,4
3,18,94,4
4,18,94,4
5,18,88,4
6,18,88,4
7,18,94,4
8,18,94,4
9,19,88,4
10,20,83,4
11,21,73,4
12,22,64,4
13,23,57,4
14,25,47,4
15,24,47,4
16,23,53,4
17,22,64,4
18,22,57,4
19,20,78,4
20,20,73,4
21,20,73,4
22,20,78,4
23,20,73,4
0,20,78,5
1,20,78,5
2,21,60,5
3,21,78,5
4,20,73,5
5,21,64,5
6,20,68,5
7,22,57,5
8,20,73,5
9,21,69,5
10,23,61,5
11,24,57,5
12,24,54,5
13,25,57,5
14,24,65,5
15,24,65,5
16,23,69,5
17,23,69,5
18,22,78,5
19,22,73,5
20,21,78,5
21,21,83,5
22,21,83,5
23,21,83,5
0,20,83,6
1,19,83,6
2,18,88,6
3,18,88,6
4,17,82,6
5,17,82,6
6,18,73,6
7,17,82,6
8,18,73,6
9,20,73,6
10,21,73,6
11,22,73,6
12,25,57,6
13,24,69,6
14,24,65,6
15,24,65,6
16,23,69,6
17,24,61,6
18,22,69,6
19,21,73,6
20,21,73,6
21,20,83,6
22,20,78,6
23,20,78,6
0,20,78,7
1,20,78,7
2,20,73,7
3,20,73,7
4,19,68,7
5,19,68,7
6,18,73,7
7,19,64,7
8,19,68,7
9,21,64,7
10,22,57,7
11,22,60,7
12,22,64,7
13,23,65,7
14,23,73,7
15,23,61,7
16,22,83,7
17,21,94,7
18,22,83,7
19,21,94,7
20,22,88,7
21,22,88,7
22,22,88,7
23,21,83,7
0,22,88,8
1,21,88,8
2,20,100,8
3,20,94,8
4,20,94,8
5,20,94,8
6,21,88,8
7,20,94,8
8,21,94,8
9,22,88,8
10,22,88,8
11,22,88,8
12,24,74,8
13,25,74,8
14,25,65,8
15,24,74,8
16,24,74,8
17,23,69,8
18,22,78,8
19,22,78,8
20,22,78,8
21,21,83,8
22,21,83,8
23,21,83,8
0,21,83,9
1,21,88,9
2,20,94,9
3,21,88,9
4,20,88,9
5,20,94,9
6,20,88,9
7,20,88,9
8,20,88,9
9,21,88,9
10,22,83,9
11,23,78,9
12,23,83,9
13,24,69,9
14,24,69,9
15,23,78,9
16,24,78,9
17,23,83,9
18,22,88,9
19,21,94,9
20,21,94,9
21,21,94,9
22,21,88,9
23,21,88,9
0,21,88,10
1,20,94,10
2,21,88,10
3,21,88,10
4,20,94,10
5,20,94,10
6,20,88,10
7,19,94,10
8,20,88,10
9,21,83,10
10,23,78,10
11,23,83,10
12,23,89,10
13,24,83,10
14,24,78,10
15,23,89,10
16,23,89,10
17,22,88,10
18,22,88,10
19,22,88,10
20,23,83,10
21,22,88,10
22,22,88,10
23,21,94,10
0,20,94,11
1,20,94,11
2,21,88,11
3,20,94,11
4,21,88,11
5,20,94,11
6,20,94,11
7,20,94,11
8,20,88,11
9,21,94,11
10,23,83,11
11,23,83,11
12,23,89,11
13,23,89,11
14,24,78,11
15,23,89,11
16,23,89,11
17,23,89,11
18,23,89,11
19,22,94,11
20,22,94,11
21,21,100,11
22,21,94,11
23,21,88,11
0,20,94,12
1,20,94,12
2,20,88,12
3,20,88,12
4,20,88,12
5,19,94,12
6,19,94,12
7,19,88,12
8,19,83,12
9,21,88,12
10,23,78,12
11,23,89,12
12,24,78,12
13,24,74,12
14,23,83,12
15,23,83,12
16,22,88,12
17,22,88,12
18,22,88,12
19,22,88,12
20,22,88,12
21,21,88,12
22,21,88,12
23,20,94,12
0,20,94,13
1,19,100,13
2,19,100,13
3,19,100,13
4,19,94,13
5,19,94,13
6,19,94,13
7,18,94,13
8,20,88,13
9,21,88,13
10,22,94,13
11,23,89,13
12,23,83,13
13,23,83,13
14,24,78,13
15,24,83,13
16,23,89,13
17,23,89,13
18,23,89,13
19,22,94,13
20,22,88,13
21,22,88,13
22,22,83,13
23,22,78,13
0,21,83,14
1,19,88,14
2,19,88,14
3,20,83,14
4,20,83,14
5,21,73,14
6,20,78,14
7,20,78,14
8,20,83,14
9,22,83,14
10,23,89,14
11,23,89,14
12,24,83,14
13,23,89,14
14,24,83,14
15,23,89,14
16,23,89,14
17,24,65,14
18,23,69,14
19,22,73,14
20,22,69,14
21,22,64,14
22,21,78,14
23,21,73,14
0,20,78,15
1,20,73,15
2,20,73,15
3,20,68,15
4,19,73,15
5,19,68,15
6,19,68,15
7,19,68,15
8,20,64,15
9,20,60,15
10,22,57,15
11,23,53,15
12,23,57,15
13,23,57,15
14,23,57,15
15,23,57,15
16,23,57,15
17,22,57,15
18,22,57,15
19,21,64,15
20,20,73,15
21,20,73,15
22,19,78,15
23,19,78,15
0,18,83,16
1,19,78,16
2,18,77,16
3,19,68,16
4,19,73,16
5,18,83,16
6,18,83,16
7,18,83,16
8,19,73,16
9,20,64,16
10,22,60,16
11,22,60,16
12,23,61,16
13,23,57,16
14,23,57,16
15,23,57,16
16,22,57,16
17,21,64,16
18,21,64,16
19,20,64,16
20,20,64,16
21,19,73,16
22,19,68,16
23,19,73,16
0,19,73,17
1,19,78,17
2,19,73,17
3,18,73,17
4,19,68,17
5,19,73,17
6,19,73,17
7,19,73,17
8,19,64,17
9,20,64,17
10,21,60,17
11,21,60,17
12,22,53,17
13,22,57,17
14,22,57,17
15,23,61,17
16,21,69,17
17,21,69,17
18,21,69,17
19,20,68,17
20,19,73,17
21,19,73,17
22,18,77,17
23,18,77,17
0,18,77,18
1,18,77,18
2,18,83,18
3,18,77,18
4,19,78,18
5,19,83,18
6,20,78,18
7,20,78,18
8,20,78,18
9,21,73,18
10,21,73,18
11,22,69,18
12,22,60,18
13,22,60,18
14,22,64,18
15,22,64,18
16,22,64,18
17,21,69,18
18,21,73,18
19,20,73,18
20,19,78,18
21,19,78,18
22,19,73,18
23,18,77,18
0,18,83,19
1,17,77,19
2,18,73,19
3,18,73,19
4,18,88,19
5,18,94,19
6,18,88,19
7,18,83,19
8,17,82,19
9,20,78,19
10,22,73,19
11,23,65,19
12,23,69,19
13,23,65,19
14,23,61,19
15,23,69,19
16,23,69,19
17,22,73,19
18,22,73,19
19,21,78,19
20,20,78,19
21,20,78,19
22,19,78,19
23,19,83,19
0,20,53,20
1,18,52,20
2,18,52,20
3,18,45,20
4,18,45,20
5,17,52,20
6,18,52,20
7,18,56,20
8,18,52,20
9,20,56,20
10,23,53,20
11,23,57,20
12,23,53,20
13,23,53,20
14,23,53,20
15,23,53,20
16,23,50,20
17,22,57,20
18,21,64,20
19,20,64,20
20,19,68,20
21,19,60,20
22,20,26,20
23,20,26,20
0,19,28,21
1,19,30,21
2,18,34,21
3,16,42,21
4,18,34,21
5,19,46,21
6,18,42,21
7,18,56,21
8,19,60,21
9,20,60,21
10,22,53,21
11,23,53,21
12,23,53,21
13,22,64,21
14,23,65,21
15,22,69,21
16,23,65,21
17,22,64,21
18,21,69,21
19,20,60,21
20,20,56,21
21,20,46,21
22,20,49,21
23,21,46,21
0,20,53,22
1,20,37,22
2,21,38,22
3,19,40,22
4,19,40,22
5,19,52,22
6,19,52,22
7,19,64,22
8,18,73,22
9,20,68,22
10,22,69,22
11,22,69,22
12,22,73,22
13,22,73,22
14,22,73,22
15,22,73,22
16,22,73,22
17,22,69,22
18,21,69,22
19,20,73,22
20,20,68,22
21,19,64,22
22,19,64,22
23,19,56,22
0,18,49,23
1,18,45,23
2,18,49,23
3,17,45,23
4,16,48,23
5,18,42,23
6,17,45,23
7,17,48,23
8,17,48,23
9,20,56,23
10,22,60,23
11,22,69,23
12,23,65,23
13,22,78,23
14,23,69,23
15,22,73,23
16,22,73,23
17,22,73,23
18,21,78,23
19,20,78,23
20,19,83,23
21,19,73,23
22,19,64,23
23,17,45,23
0,19,34,24
1,17,42,24
2,17,55,24
3,17,55,24
4,17,52,24
5,17,45,24
6,17,52,24
7,17,55,24
8,17,48,24
9,21,38,24
10,23,47,24
11,22,64,24
12,22,73,24
13,23,73,24
14,23,73,24
15,23,73,24
16,23,69,24
17,23,69,24
18,22,73,24
19,21,73,24
20,20,73,24
21,19,73,24
22,18,64,24
23,18,59,24
0,18,49,25
1,18,42,25
2,17,45,25
3,17,45,25
4,17,42,25
5,17,52,25
6,17,52,25
7,17,55,25
8,16,68,25
9,19,68,25
10,21,69,25
11,23,61,25
12,24,57,25
13,25,39,25
14,25,32,25
15,25,34,25
16,24,47,25
17,23,53,25
18,22,53,25
19,19,68,25
20,20,43,25
21,18,56,25
22,18,59,25
23,18,68,25
0,18,73,26
1,18,68,26
2,17,72,26
3,17,77,26
4,17,72,26
5,17,77,26
6,17,82,26
7,17,88,26
8,17,88,26
9,20,73,26
10,22,64,26
11,23,57,26
12,23,53,26
13,24,50,26
14,23,53,26
15,22,64,26
16,22,64,26
17,22,57,26
18,21,64,26
19,21,64,26
20,20,64,26
21,19,68,26
22,19,68,26
23,20,46,26
0,21,49,27
1,22,53,27
2,22,57,27
3,22,53,27
4,22,57,27
5,22,46,27
6,21,56,27
7,21,53,27
8,21,56,27
9,21,56,27
10,21,53,27
11,21,56,27
12,21,53,27
13,21,49,27
14,22,46,27
15,22,50,27
16,22,57,27
17,22,60,27
18,20,60,27
19,21,40,27
20,22,38,27
21,22,50,27
22,22,50,27
23,22,53,27
0,20,64,28
1,20,64,28
2,21,60,28
3,20,68,28
4,20,68,28
5,21,60,28
6,21,60,28
7,21,64,28
8,21,60,28
9,21,60,28
10,22,57,28
11,22,64,28
12,23,61,28
13,24,54,28
14,23,61,28
15,23,65,28
16,23,57,28
17,23,53,28
18,23,50,28
19,22,50,28
20,21,53,28
21,21,53,28
22,21,53,28
23,21,53,28
0,21,53,29
1,21,49,29
2,21,53,29
3,22,50,29
4,20,60,29
5,21,60,29
6,19,60,29
7,20,56,29
8,20,49,29
9,21,49,29
10,22,50,29
11,23,57,29
12,23,61,29
13,23,57,29
14,24,50,29
15,23,57,29
16,22,60,29
17,22,64,29
18,22,64,29
19,22,60,29
20,21,69,29
21,21,73,29
22,21,69,29
23,21,64,29
0,20,64,30
1,20,68,30
2,21,64,30
3,20,64,30
4,21,64,30
5,20,64,30
6,20,64,30
7,19,68,30
8,19,73,30
9,21,60,30
10,22,60,30
11,22,69,30
12,23,65,30
13,24,50,30
14,24,54,30
15,24,54,30
16,22,64,30
17,22,60,30
18,22,57,30
19,20,73,30
20,21,56,30
21,20,68,30
22,19,73,30
23,18,77,30
0,19,73,31
1,19,73,31
2,20,64,31
3,20,56,31
4,19,64,31
5,19,64,31
6,20,60,31
7,20,64,31
8,19,68,31
9,20,64,31
10,22,57,31
11,23,50,31
12,23,50,31
13,23,57,31
14,23,61,31
15,23,57,31
16,22,64,31
17,21,69,31
18,21,69,31
19,20,78,31
20,19,78,31
21,18,83,31
22,18,88,31
23,18,88,31
